Group,RollNo,Marks,Grade,Passed_in
Pre-Engineering,87374,599,pass,C
Pre-Engineering,87375,660,pass,B
Pre-Engineering,87376,212,fail,
Pre-Engineering,87377,221,fail,
Pre-Engineering,87378,583,pass,C
Pre-Engineering,87379,721,pass,B
Pre-Engineering,87380,588,fail,
Pre-Engineering,87381,555,pass,C
Pre-Engineering,87382,617,pass,C
Pre-Engineering,87383,696,pass,B
Pre-Engineering,87384,669,pass,B
Pre-Engineering,87385,720,pass,C
Pre-Engineering,87386,602,pass,C
Pre-Engineering,87387,0,rwh/umeans,
Pre-Engineering,87388,616,pass,C
Pre-Engineering,87389,736,pass,B
Pre-Engineering,87390,700,pass,B
Pre-Engineering,87391,628,pass,C
Pre-Engineering,87392,583,pass,C
Pre-Engineering,87393,838,pass,A
Pre-Engineering,87394,56,fail,
Pre-Engineering,87395,0,rwh/umeans,
Pre-Engineering,87396,710,pass,B
Pre-Engineering,87397,0,rwh/umeans,
Pre-Engineering,87398,888,pass,A1
Pre-Engineering,87399,770,pass,A
Pre-Engineering,87400,627,pass,C
Pre-Engineering,87401,593,fail,
Pre-Engineering,87402,811,pass,A
Pre-Engineering,87403,680,pass,B
Pre-Engineering,87404,610,pass,C
Pre-Engineering,87405,828,pass,A
Pre-Engineering,87406,0,rwh/umeans,
Pre-Engineering,87407,606,pass,C
Pre-Engineering,87408,524,pass,D
Pre-Engineering,87409,523,fail,
Pre-Engineering,87410,0,fail,
Pre-Engineering,87411,678,pass,B
Pre-Engineering,87412,660,pass,B
Pre-Engineering,87413,626,pass,C
Pre-Engineering,87414,798,pass,A
Pre-Engineering,87415,784,pass,A
Pre-Engineering,87416,686,pass,B
Pre-Engineering,87417,0,rwh/umeans,
Pre-Engineering,87418,650,pass,C
Pre-Engineering,87419,716,pass,B
Pre-Engineering,87420,0,rwh/umeans,
Pre-Engineering,87421,671,pass,B
Pre-Engineering,87422,666,pass,B
Pre-Engineering,87423,817,pass,A
Pre-Engineering,87424,665,pass,B
Pre-Engineering,87425,0,rwh/umeans,
Pre-Engineering,87426,624,pass,C
Pre-Engineering,87427,85,fail,
Pre-Engineering,87428,259,fail,
Pre-Engineering,87429,0,fail,
Pre-Engineering,87430,642,pass,C
Pre-Engineering,87431,711,pass,B
Pre-Engineering,87432,644,fail,
